OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20458,930,0.0011541002066908887,0.033061886555963274,0.9721613554856369,0.9978816894349033,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,930,0.03785589880755742,0.03145072644288953,0.22903573723454246,0.9715972559934978,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,930,0.07863329002552175,0.03813868222374202,0.0395135083232548,0.9715972559934978,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,930,-0.003331497521060616,0.02994061441228734,0.9114266928904102,0.9978816894349033,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,930,-0.04156196612809672,0.029667859668493536,0.16158300133995043,0.9715972559934978,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,930,0.03388494835490111,0.030269671080676363,0.26325036926619344,0.9715972559934978,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
OID20464,930,0.061318903141637626,0.029363038458025688,0.03704865967704169,0.9715972559934978,31.39252946275289,P48061,CXCL12,Inflammation,Unique Protein
OID20465,930,-0.0011971684418228942,0.02939354577272141,0.9675209305283208,0.9978816894349033,93.34567480944578,Q99748,NRTN,Inflammation,Unique Protein
OID20466,930,0.039269163442549805,0.029883484819625914,0.18915258013211578,0.9715972559934978,52.523655670984105,Q13574,DGKZ,Inflammation,Unique Protein
OID20467,930,-0.016142528998510906,0.02967111463542517,0.5865415771505411,0.9715972559934978,71.34113034190173,Q9Y2J8,PADI2,Inflammation,Unique Protein
OID20468,930,0.04210511257380417,0.030463374116177843,0.16726393600290035,0.9715972559934978,34.678108091141276,Q04759,PRKCQ,Inflammation,Unique Protein
OID20469,930,-0.011757613368067138,0.030278039210548537,0.6978691614261868,0.987810577129286,36.018458890942085,Q16552,IL17A,Inflammation,Unique Protein
OID20470,930,-0.013530263667062543,0.030224930418398136,0.6545108310095319,0.9803329982202843,55.484820070661044,Q12968,NFATC3,Inflammation,Unique Protein
