OlinkID,epvs_thalamus_6_nobs,epvs_thalamus_6_beta,epvs_thalamus_6_se,epvs_thalamus_6_pvalue,epvs_thalamus_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20490,923,-0.07384528435142286,0.03690620301423181,0.04570374046123682,0.999912880572633,20.33940827167288,P12034,FGF5,Inflammation,Unique Protein
OID20491,923,-0.014966006339871158,0.03374347190156904,0.6574939587681075,0.999912880572633,23.803597387284064,P09919,CSF3,Inflammation,Unique Protein
OID20492,923,-0.01952980434035511,0.03312889322483988,0.5556671856588551,0.999912880572633,34.89963183705086,Q9BXJ7,AMN,Inflammation,Unique Protein
OID20493,923,-0.05764417310292266,0.03427062759485673,0.09290981768926203,0.999912880572633,20.54185331430291,P18564,ITGB6,Inflammation,Unique Protein
OID20494,923,-0.003029161889731585,0.03369352497654436,0.9283839733242105,0.999912880572633,27.215383032164432,P01591,JCHAIN,Inflammation,Unique Protein
OID20495,923,-0.009929294915379264,0.03226341274101277,0.7583382805088891,0.999912880572633,48.11407969094256,P01579,IFNG,Inflammation,Unique Protein
OID20496,923,-0.01944166475869773,0.03355575694242724,0.5624750043972879,0.999912880572633,42.45631465890214,Q13291,SLAMF1,Inflammation,Unique Protein
OID20497,923,-0.019085685557761373,0.03357333175288645,0.5698523958571231,0.999912880572633,30.128035539841946,Q8N8S7,ENAH,Inflammation,Unique Protein
OID20498,923,-0.05325534447539129,0.036658968122875335,0.14664870018201415,0.999912880572633,36.92574890220236,Q13261,IL15RA,Inflammation,Unique Protein
OID20500,924,0.036585885892349415,0.031620645629952794,0.2475683520046255,0.999912880572633,43.30907682387938,P09874,PARP1,Inflammation,Unique Protein
OID20501,924,-0.006365884709163541,0.033014930719218356,0.8471446312494508,0.999912880572633,62.78308820519409,Q0Z7S8,FABP9,Inflammation,Unique Protein
OID20502,924,0.007242036524520099,0.03313233326962404,0.8270273569145854,0.999912880572633,41.679833530779945,P78362,SRPK2,Inflammation,Unique Protein
OID20503,924,0.007119779698804489,0.03328732034804195,0.8306822371084692,0.999912880572633,53.39188622314336,P09038,FGF2,Inflammation,Unique Protein
OID20504,924,-0.018105876604113818,0.032770940559617726,0.5807441355056199,0.999912880572633,99.68422521826136,O43736,ITM2A,Inflammation,Unique Protein
OID20505,924,0.0015445485134947452,0.03305795317233036,0.9627447807648759,0.999912880572633,48.30109230697975,O14867,BACH1,Inflammation,Unique Protein
OID20506,924,0.023931385682292642,0.03133620991425364,0.4452472288667588,0.999912880572633,83.44692941519092,Q8IU57,IFNLR1,Inflammation,Unique Protein
OID20507,924,0.008591871558399104,0.03336668170675312,0.7968526795324735,0.999912880572633,76.43223444512378,Q12933,TRAF2,Inflammation,Unique Protein
