OlinkID,epvs_basalganglia_6_nobs,epvs_basalganglia_6_beta,epvs_basalganglia_6_se,epvs_basalganglia_6_pvalue,epvs_basalganglia_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20204,926,-0.013095511302175731,0.0340314908067541,0.7004718941759543,0.8852050785457477,39.42405651623527,Q9BQB4,SOST,Cardiometabolic,Unique Protein
OID20205,926,0.01648469669965006,0.04225116079788984,0.6965104323007721,0.8848833153629502,35.05681188387301,Q9NQX5,NPDC1,Cardiometabolic,Unique Protein
OID20206,926,0.05499672626019785,0.03148692729950235,0.08103722302130784,0.359771081362437,59.79217054323547,Q07108,CD69,Cardiometabolic,Unique Protein
OID20207,926,0.057912502936986555,0.031179907714245354,0.06358411774519915,0.34172666400766344,67.99258512214456,P42830,CXCL5,Cardiometabolic,Unique Protein
OID20208,926,0.038311238773573016,0.032092230291327545,0.2328750605923131,0.5489466146059123,36.60447437336462,P02462,COL4A1,Cardiometabolic,Unique Protein
OID20209,926,-0.002406805092356274,0.03327699562190735,0.9423581588787713,0.9831017323951579,34.07086219424861,A6NI73,LILRA5,Cardiometabolic,Unique Protein
OID20210,926,-0.04107615080380481,0.03097177294001767,0.1850936152618298,0.4986439054473074,26.822344509155556,Q9UEW3,MARCO,Cardiometabolic,Unique Protein
OID20211,926,-0.007497927422048862,0.03364513416380546,0.8237000665623047,0.9430768878032183,28.409272453327045,O95841,ANGPTL1,Cardiometabolic,Unique Protein
OID20212,926,0.012820476316505687,0.03186147659815924,0.6874982333147112,0.8809983936777294,35.157211407863194,Q9BQR3,PRSS27,Cardiometabolic,Unique Protein
OID20213,926,0.023889954132056076,0.0317160870451486,0.451499387271712,0.7456116999972962,34.28494169626506,Q99523,SORT1,Cardiometabolic,Unique Protein
OID20214,926,0.019696766370015745,0.03023970331942667,0.5149832255741812,0.7910120695498327,35.97537146507491,P35247,SFTPD,Cardiometabolic,Unique Protein
OID20215,926,-0.018810600934318585,0.03142703808134396,0.5496240654606779,0.8122944326176148,37.65967830683566,P20711,DDC,Cardiometabolic,Unique Protein
OID20216,926,0.06226155905722083,0.030399422666035122,0.04083701124214343,0.3343852776168678,51.76787703710303,P31431,SDC4,Cardiometabolic,Unique Protein
OID20217,926,0.0030969389924817865,0.03065850488201544,0.9195617252924301,0.9791043841315393,44.520121715167335,P09601,HMOX1,Cardiometabolic,Unique Protein
OID20218,926,0.05356452115058923,0.03177302137295088,0.09216993829631305,0.37618107413863594,62.628145145932464,O00161,SNAP23,Cardiometabolic,Unique Protein
OID20219,926,0.03254888304647179,0.03036513809371971,0.2840437549765119,0.6051456966445659,35.931893320097515,Q8IW75,SERPINA12,Cardiometabolic,Unique Protein
OID20220,926,0.06075428022151083,0.031186846967846116,0.0517153051829236,0.3343852776168678,46.918939986573534,P01241,GH1,Cardiometabolic,Unique Protein
OID20221,926,0.029930724318686062,0.03735887300687055,0.42324505673718515,0.7236624164024729,35.69542565192197,Q9BUD6,SPON2,Cardiometabolic,Unique Protein
OID20222,926,0.060138654155736104,0.03625668327105736,0.09752484939368401,0.3807669524514118,36.016872584688876,Q92692,NECTIN2,Cardiometabolic,Unique Protein
OID20223,926,-0.01878789553359347,0.03237309931343956,0.5618197602849798,0.8179290942590706,44.1080839542237,Q6WN34,CHRDL2,Cardiometabolic,Unique Protein
OID20224,926,0.011637797224755872,0.036730163346314314,0.7514337803332557,0.9106305721036926,33.636050641719194,Q01973,ROR1,Cardiometabolic,Unique Protein
OID20225,926,0.04775424440897824,0.031097114060782513,0.12497445210840678,0.4165340062860582,67.09599007733782,Q8N1Q1,CA13,Cardiometabolic,Unique Protein
OID20226,926,0.07611002863331136,0.03735378872781888,0.041886202743558046,0.3343852776168678,37.76072639043195,Q76M96,CCDC80,Cardiometabolic,Unique Protein
OID20227,926,-0.012357459588171697,0.029333109165189088,0.6736505940937019,0.8730823410748947,99.59646263030456,P09467,FBP1,Cardiometabolic,Unique Protein
OID20228,926,0.03995949105795651,0.03225019346277079,0.21564985860708238,0.5301467928582858,31.03031272968727,P07711,CTSL,Cardiometabolic,Unique Protein
OID20229,926,0.004476109940256514,0.03151122338521906,0.8870736497652341,0.9642739194213961,37.883048561414235,Q92823,NRCAM,Cardiometabolic,Unique Protein
OID20230,926,0.06797705039085905,0.03201605101942104,0.034006734277411535,0.33031897563284185,53.106155897429865,P04792,HSPB1,Cardiometabolic,Unique Protein
OID20231,926,-0.002001522215323101,0.034456034303825975,0.9536904433655126,0.9880389244401541,34.05280788909543,P07204,THBD,Cardiometabolic,Unique Protein
OID20232,926,0.05425137000927915,0.030838758111051152,0.07888275852793414,0.35692616590890325,52.9552703239026,Q16773,KYAT1,Cardiometabolic,Unique Protein
OID20233,926,-0.0021143958949175054,0.03968226993706626,0.9575180865995485,0.9886057796992845,46.229200935715404,Q92520,FAM3C,Cardiometabolic,Unique Protein
OID20234,926,0.07306237145341613,0.030598538316751845,0.017155300085796715,0.33031897563284185,69.94960676192586,P19971,TYMP,Cardiometabolic,Unique Protein
OID20235,926,0.0021575469518342666,0.02959607222067454,0.9419020003947385,0.9831017323951579,70.26170961646481,Q8NBP7,PCSK9,Cardiometabolic,Unique Protein
OID20236,926,0.020915471045493204,0.032874805662875435,0.5247968140216388,0.7987032340879198,27.54719353629453,Q16270,IGFBP7,Cardiometabolic,Unique Protein
OID20237,926,-0.06479630979965295,0.033329689218777735,0.05219310588807181,0.3343852776168678,40.83043423212725,P07911,UMOD,Cardiometabolic,Unique Protein
OID20238,926,-0.002746612257230564,0.03114371590869747,0.9297439738029307,0.980744004123409,66.06885393928198,P55058,PLTP,Cardiometabolic,Unique Protein
OID20239,926,-0.032972673390779327,0.03417284534492877,0.33486327610440525,0.6547193017078103,68.54774781481102,Q13361,MFAP5,Cardiometabolic,Unique Protein
OID20240,926,-0.02327002199416637,0.032255435777882625,0.4708318588027053,0.7587319926402303,45.747429758296846,P01130,LDLR,Cardiometabolic,Unique Protein
OID20241,926,-0.02619934976121278,0.03105007446648504,0.3990170479254824,0.703454059762476,45.289977640434934,P22748,CA4,Cardiometabolic,Unique Protein
OID20242,926,0.05259895466387947,0.034828766617981316,0.13133780041331475,0.42757338196999795,52.314259901773106,P54760,EPHB4,Cardiometabolic,Unique Protein
