OlinkID,epvs_insula_1_nobs,epvs_insula_1_beta,epvs_insula_1_se,epvs_insula_1_pvalue,epvs_insula_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20544,906,-0.0030104696546222093,0.033396524113024476,0.9281938375597233,0.9953590097212025,75.19360848127108,Q9Y6K9,IKBKG,Inflammation,Unique Protein
OID20545,906,9.143198457803499e-4,0.03381604657981759,0.9784354906503416,0.9953590097212025,69.06036574521553,O95644,NFATC1,Inflammation,Unique Protein
OID20546,906,0.0029426130741150905,0.03356571774711673,0.9301610305332288,0.9953590097212025,88.08322803526029,Q9Y258,CCL26,Inflammation,Unique Protein
OID20547,906,-0.01592893713316499,0.03376844620513712,0.6372497073088956,0.9953590097212025,81.08055680909513,Q8WTT0,CLEC4C,Inflammation,Unique Protein
OID20548,906,-0.0056775861375062235,0.037798730584974134,0.8806365650964327,0.9953590097212025,75.69468894964902,Q3KPI0,CEACAM21,Inflammation,Unique Protein
OID20549,906,-0.001648750664450316,0.03467035898658633,0.9620815973589321,0.9953590097212025,56.53423121365311,Q9BT73,PSMG3,Inflammation,Unique Protein
OID20550,906,0.028352427423731397,0.03486718013858856,0.416348052922208,0.9953590097212025,30.00772866031804,P20849,COL9A1,Inflammation,Unique Protein
OID20551,906,-0.006512333432618599,0.03366873030741287,0.8466715178467418,0.9953590097212025,85.89328641017245,Q9HD26,GOPC,Inflammation,Unique Protein
OID20552,906,-0.008344237645215554,0.033339809983276694,0.8024301345372905,0.9953590097212025,80.89478871643234,P52564,MAP2K6,Inflammation,Unique Protein
OID20553,906,-0.011348736861201685,0.033742924708060756,0.736702317358058,0.9953590097212025,100.87404258600503,Q9H0P0,NT5C3A,Inflammation,Unique Protein
OID20554,906,-0.01806778676886539,0.03330143898226496,0.5875745395997118,0.9953590097212025,80.26654083582852,Q9NZN5,ARHGEF12,Inflammation,Unique Protein
OID20555,906,4.303109990551282e-4,0.03423355802679032,0.9899738037980237,0.9964514608271438,53.29948959992578,P42575,CASP2,Inflammation,Unique Protein
OID20556,906,0.018877347241628737,0.03378020715632031,0.5764202022148206,0.9953590097212025,48.15449658377204,Q9UHC6,CNTNAP2,Inflammation,Unique Protein
OID20557,906,0.009150372316097378,0.03467908368753972,0.7919504215761017,0.9953590097212025,39.768648424664924,P45984,MAPK9,Inflammation,Unique Protein
OID20558,906,-0.0019233824610067063,0.0337809048111857,0.9546082685270167,0.9953590097212025,64.74483012842174,P11274,BCR,Inflammation,Unique Protein
OID20559,906,-0.019436164810685427,0.03357516096711879,0.5628140805312132,0.9953590097212025,129.71720219537343,Q9UDT6,CLIP2,Inflammation,Unique Protein
OID20560,906,0.07656940150674645,0.03601835521778178,0.033792889271431995,0.9953590097212025,55.29720477290084,Q14242,SELPLG,Inflammation,Unique Protein
OID20561,906,-0.01867246819139567,0.036049713382583275,0.6046127089696954,0.9953590097212025,62.164310837017965,P78310,CXADR,Inflammation,Unique Protein
OID20562,906,0.06384739453617741,0.03573226500535237,0.07430793822867338,0.9953590097212025,93.82640274758985,P40933,IL15,Inflammation,Unique Protein
OID20564,906,0.06161603409752977,0.03336145315549831,0.06509233927988,0.9953590097212025,63.14186270648111,P24071,FCAR,Inflammation,Unique Protein
OID20565,906,0.06574467125155269,0.03463111521319591,0.05796520033514638,0.9953590097212025,85.69676119163287,Q01151,CD83,Inflammation,Unique Protein
OID20566,906,0.05924521269090095,0.03724748972637368,0.11206105018313733,0.9953590097212025,49.78110962295631,O76036,NCR1,Inflammation,Unique Protein
OID20567,906,-0.0017101735165889127,0.03256017315742663,0.9581234552962766,0.9953590097212025,107.12619514575314,P19878,NCF2,Inflammation,Unique Protein
OID20568,906,0.08766468832779145,0.04191214721608227,0.03675652281081149,0.9953590097212025,83.34331953915446,P23582,NPPC,Inflammation,Unique Protein
OID20569,906,-0.018403966391192492,0.03410162723009788,0.5895536409734705,0.9953590097212025,69.46645688786874,Q9NRJ3,CCL28,Inflammation,Unique Protein
OID20570,906,0.07724665673650084,0.03405520509814698,0.02355276394263688,0.9953590097212025,114.64157433465974,P26022,PTX3,Inflammation,Unique Protein
OID20571,906,0.01872424710060934,0.03594196247978163,0.6025266090983248,0.9953590097212025,58.83530865108468,Q03431,PTH1R,Inflammation,Unique Protein
OID20572,906,0.03500857000287448,0.033833809318360226,0.3010819634858808,0.9953590097212025,57.58704425723858,Q9GZT9,EGLN1,Inflammation,Unique Protein
OID20573,906,0.03187692985130765,0.032872045734690575,0.3324475342965497,0.9953590097212025,88.34150674734654,Q9UMR7,CLEC4A,Inflammation,Unique Protein
OID20574,906,0.03585727278426274,0.03454734343875868,0.29959254133135016,0.9953590097212025,111.88873380500684,P13725,OSM,Inflammation,Unique Protein
OID20575,906,0.0024002336037360836,0.03405373821142858,0.9438246120900344,0.9953590097212025,55.39849803317837,P28845,HSD11B1,Inflammation,Unique Protein
OID20576,906,-0.0035107535434232766,0.033324061635554396,0.9161204735282868,0.9953590097212025,105.06893348024666,P24394,IL4R,Inflammation,Unique Protein
OID20577,906,-0.00213023309071008,0.03375107519624158,0.9496883962861838,0.9953590097212025,85.37642620898507,Q9NWZ3,IRAK4,Inflammation,Unique Protein
OID20578,906,0.01822001533361123,0.03498802340496284,0.6026713025194053,0.9953590097212025,58.5971974790518,Q14773,ICAM4,Inflammation,Unique Protein
OID20579,906,-0.00924634626509942,0.03353254658749186,0.7828103391365103,0.9953590097212025,90.33391965398077,Q16698,DECR1,Inflammation,Unique Protein
OID20580,906,0.04868160451508037,0.03381645904087172,0.15033938006777608,0.9953590097212025,86.59952620728205,O60449,LY75,Inflammation,Unique Protein
OID20581,906,0.015061103108724308,0.0333408232378958,0.6515731657983106,0.9953590097212025,51.033859919033,Q9UKX5,ITGA11,Inflammation,Unique Protein
OID20582,906,-0.01486794176064316,0.03359501678417847,0.6581894621313304,0.9953590097212025,77.89460124641666,O15169,AXIN1,Inflammation,Unique Protein
OID20583,906,0.013018590753619972,0.033417271469969256,0.6969434091809266,0.9953590097212025,90.65787819437625,P50995,ANXA11,Inflammation,Unique Protein
OID20584,906,0.10192392806938795,0.03411861998655732,0.0028919091032041265,0.795842453667867,61.068804974909185,P01730,CD4,Inflammation,Unique Protein
